Dates,Formatted Date,Formatted Date
15-09-2020,2020-09-15,2020-09-15
"August 27, 2022",2022-08-27,2022-08-27
"July 27, 2022",2022-07-27,2022-07-27
"November 09, 2021",2021-11-09,2021-11-09
2020-02-20,2020-02-20,2020-02-20
"June 12, 2020",2020-06-12,2020-06-12
"June 05, 2022",2022-06-05,2022-06-05
"May 14, 2020",2020-05-14,2020-05-14
"January 04, 2022",2022-01-04,2022-01-04
2021-07-06,2021-07-06,2021-07-06
"May 28, 2022",2022-05-28,2022-05-28
2021-08-04,2021-08-04,2021-08-04
2020-05-04,2020-05-04,2020-05-04
2021-07-10,2021-07-10,2021-07-10
09 January 2020,2020-01-09,2020-01-09
17 February 2021,2021-02-17,2021-02-17
23 May 2020,2020-05-23,2020-05-23
03 August 2021,2021-08-03,2021-08-03
26 January 2021,2021-01-26,2021-01-26
16 December 2021,2021-12-16,2021-12-16
2020-02-12,2020-02-12,2020-02-12
29 February 2020,2020-02-29,2020-02-29
2021-03-23,2021-03-23,2021-03-23
"February 17, 2021",2021-02-17,2021-02-17
"December 19, 2020",2020-12-19,2020-12-19
21 March 2020,2020-03-21,2020-03-21
24 August 2022,2022-08-24,2022-08-24
"January 12, 2021",2021-01-12,2021-01-12
"December 24, 2020",2020-12-24,2020-12-24
2022-05-23,2022-05-23,2022-05-23
2021-10-03,2021-10-03,2021-10-03
"July 23, 2021",2021-07-23,2021-07-23
13 June 2022,2022-06-13,2022-06-13
2021-06-10,2021-06-10,2021-06-10
"March 17, 2020",2020-03-17,2020-03-17
25-12-2020,2020-12-25,2020-12-25
05-07-2020,2020-05-07,2020-05-07
2022-02-24,2022-02-24,2022-02-24
"August 12, 2021",2021-08-12,2021-08-12
06-08-2020,2020-06-08,2020-06-08
"May 28, 2021",2021-05-28,2021-05-28
2022-05-03,2022-05-03,2022-05-03
26 September 2022,2022-09-26,2022-09-26
"August 23, 2020",2020-08-23,2020-08-23
"December 06, 2021",2021-12-06,2021-12-06
"January 20, 2021",2021-01-20,2021-01-20
16 November 2020,2020-11-16,2020-11-16
09 May 2022,2022-05-09,2022-05-09
22 June 2022,2022-06-22,2022-06-22
2020-04-03,2020-04-03,2020-04-03
2020-02-23,2020-02-23,2020-02-23
2020-10-10,2020-10-10,2020-10-10
"July 26, 2021",2021-07-26,2021-07-26
2021-12-21,2021-12-21,2021-12-21
2021-08-24,2021-08-24,2021-08-24
12 February 2022,2022-02-12,2022-02-12
"July 27, 2020",2020-07-27,2020-07-27
"January 31, 2020",2020-01-31,2020-01-31
2022-09-09,2022-09-09,2022-09-09
16 June 2022,2022-06-16,2022-06-16
18 July 2021,2021-07-18,2021-07-18
21-06-2022,2022-06-21,2022-06-21
2022-08-20,2022-08-20,2022-08-20
25-08-2021,2021-08-25,2021-08-25
2021-04-20,2021-04-20,2021-04-20
2021-08-08,2021-08-08,2021-08-08
09 October 2020,2020-10-09,2020-10-09
11 September 2022,2022-09-11,2022-09-11
30 August 2020,2020-08-30,2020-08-30
"March 21, 2020",2020-03-21,2020-03-21
15-11-2020,2020-11-15,2020-11-15
2021-08-15,2021-08-15,2021-08-15
02 April 2022,2022-04-02,2022-04-02
"June 24, 2021",2021-06-24,2021-06-24
2022-04-12,2022-04-12,2022-04-12
26 February 2021,2021-02-26,2021-02-26
2021-04-29,2021-04-29,2021-04-29
07 January 2020,2020-01-07,2020-01-07
21 February 2021,2021-02-21,2021-02-21
"July 13, 2020",2020-07-13,2020-07-13
"November 01, 2020",2020-11-01,2020-11-01
"October 12, 2020",2020-10-12,2020-10-12
11-03-2020,2020-11-03,2020-11-03
14-01-2022,2022-01-14,2022-01-14
25 September 2021,2021-09-25,2021-09-25
26-11-2021,2021-11-26,2021-11-26
"November 22, 2020",2020-11-22,2020-11-22
2022-08-27,2022-08-27,2022-08-27
2021-09-24,2021-09-24,2021-09-24
"August 15, 2020",2020-08-15,2020-08-15
04 September 2022,2022-09-04,2022-09-04
08 June 2020,2020-06-08,2020-06-08
28 September 2021,2021-09-28,2021-09-28
2021-01-24,2021-01-24,2021-01-24
2022-02-20,2022-02-20,2022-02-20
28-06-2022,2022-06-28,2022-06-28
28 March 2022,2022-03-28,2022-03-28
21-05-2021,2021-05-21,2021-05-21
2021-11-09,2021-11-09,2021-11-09
08 November 2020,2020-11-08,2020-11-08
